As_Of,Last_Rebalance,Last_Decision,Strategy,Regime_On,Symbol,Sector,Held,Strategy_Weight,Provisional_Weight,Strategy_Score,Strategy_Rank,Technical_Score,RS_Score,Close,Next_Earnings
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,VEEV,Technology,1,0.1398,0.1398,63.0025,4.0,70.5882,55.4167,280.68,2026-11-18
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,SNOW,Technology,1,0.1373,0.1373,57.0588,6.0,69.1176,45.0,335.94,2026-12-01
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,META,Communication Services,1,0.1294,0.1294,44.3301,18.0,55.8824,32.7778,751.66,2026-10-27
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,PANW,Technology,1,0.1039,0.1039,55.9804,9.0,60.2941,51.6667,374.74,2026-11-17
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,TWLO,Technology,1,0.0937,0.0937,70.4167,1.0,75.0,65.8333,275.8,2026-10-28
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,AMD,Technology,1,0.0936,0.0936,67.5858,2.0,70.5882,64.5833,630.63,2026-11-02
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,RBRK,Technology,1,0.0891,0.0891,62.6471,5.0,60.2941,65.0,109.55,2026-12-07
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,SMCI,Technology,1,0.0733,0.0733,65.2941,3.0,70.5882,60.0,43.26,2026-11-02
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,TEM,Health Care,1,0.0707,0.0707,57.0302,7.0,70.5882,43.4722,85.01,2026-11-02
2026-09-25,2026-09-25,2026-09-25,"C6: weekly top-10 ranking, max 4 per sector + soft QQQ regime (expanded universe, 96 stocks) [picks from ranks 1-20 only; sector cap relaxed to fill the 10 slots; top-3 swaps ignore the cap] + mid-week swap (Mon/Wed close: top 3 in, below rank 15 out) + mid-week exit (sell if worse than rank 30, cash until Friday) + no new buys with earnings in the next 5 days",1,TEAM,Technology,1,0.0691,0.0691,56.4461,8.0,47.0588,65.8333,187.74,2026-10-26
